yr,season,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,1,1,21,0,1,1,-1.42,-7,59,13,1,37,38
0,1,1,22,0,1,1,-1.42,-6,59,11,2,22,24
0,1,1,23,0,1,1,-1.42,-6,59,11,0,18,18
0,1,1,0,0,2,1,-1.42,-5,59,7,2,10,12
0,1,1,1,0,2,1,-1.42,-6,-1,11,0,3,3
0,1,1,2,0,2,2,-0.48,-6,55,13,0,3,3
0,1,1,5,0,2,2,-0.48,-4,55,9,0,6,6
0,1,1,6,0,2,2,-0.48,-4,55,9,0,27,27
0,1,1,7,0,2,2,-0.48,-1,55,0,2,97,99
0,1,1,8,0,2,2,0.46,-2,51,6,3,214,217
0,1,1,9,0,2,2,0.46,-3,51,11,3,127,130
0,1,1,10,0,2,2,1.4,-2,51,11,3,51,54
0,1,1,11,0,2,2,1.4,-2,47,9,4,31,35
0,1,1,12,0,2,2,1.4,-1,51,7,2,55,57
0,1,1,13,0,2,2,1.4,-1,-1,6,6,46,52
0,1,1,14,0,2,2,1.4,-1,59,6,3,60,63
0,1,1,15,0,2,2,-0.48,-3,80,6,2,45,47
0,1,1,16,0,2,2,-0.48,-6,86,15,4,72,76
0,1,1,17,0,2,2,-0.48,-6,86,15,6,130,136
0,1,1,18,0,2,3,-0.48,-4,93,7,1,94,95
0,1,1,19,0,2,3,-0.48,-1,-1,0,0,51,51
0,1,1,20,0,2,3,-0.48,-6,93,13,0,32,32
0,1,1,21,0,2,3,-0.48,-3,86,6,0,20,20
0,1,1,22,0,2,3,-0.48,-4,93,7,1,28,29
0,1,1,23,0,2,3,-0.48,-3,93,6,1,18,19
0,1,1,0,0,3,2,-0.48,-3,86,6,0,7,7
0,1,1,1,0,3,2,-0.48,-4,86,7,0,6,6
0,1,1,2,0,3,1,-1.42,-6,86,9,0,1,1
0,1,1,5,0,3,1,-1.42,-6,86,11,0,5,5
0,1,1,6,0,3,1,-2.36,-6,93,9,0,16,16
0,1,1,7,0,3,1,-1.42,-6,-1,9,0,54,54
0,1,1,8,0,3,1,-0.48,-5,59,11,3,125,128
0,1,1,9,0,3,1,-0.48,-7,59,22,3,78,81
0,1,1,10,0,3,1,0.46,-4,55,15,0,39,39
0,1,1,11,0,3,1,1.4,-4,51,26,3,32,35
0,1,1,12,0,3,1,1.4,-6,47,39,3,52,55
0,1,1,13,0,3,1,2.34,-3,44,24,0,49,49
0,1,1,14,0,3,1,1.4,-4,-1,22,0,44,44
0,1,1,15,0,3,1,1.4,-5,47,28,1,48,49
0,1,1,16,0,3,1,2.34,-3,44,22,5,63,68
0,1,1,17,0,3,1,1.4,-4,-1,24,0,139,139
0,1,1,18,0,3,1,1.4,-6,47,35,2,135,137
0,1,1,19,0,3,1,0.46,-6,47,28,1,82,83
0,1,1,20,0,3,1,-0.48,-7,50,22,2,54,56
0,1,1,21,0,3,1,-0.48,-7,55,22,0,57,57
0,1,1,22,0,3,1,-0.48,-8,55,30,1,32,33
0,1,1,23,0,3,1,-1.42,-9,59,28,1,19,20
0,1,1,0,0,4,1,-1.42,-8,59,19,1,6,7
0,1,1,1,0,4,1,-1.42,-8,50,19,0,2,2
0,1,1,2,0,4,1,-1.42,-8,-1,24,0,2,2
0,1,1,3,0,4,1,-1.42,-8,50,22,0,3,3
0,1,1,4,0,4,1,-1.42,-8,-1,17,0,4,4
0,1,1,5,0,4,1,-1.42,-8,50,20,0,3,3
0,1,1,6,0,4,1,-2.36,-6,54,9,0,28,28
0,1,1,7,0,4,1,-2.36,-6,-1,9,0,72,72
0,1,1,8,0,4,1,-1.42,-7,50,13,5,197,202
0,1,1,9,0,4,1,-1.42,-8,50,22,2,137,139
0,1,1,10,0,4,2,-0.48,-7,50,24,2,36,38
0,1,1,11,0,4,2,1.4,-5,-1,30,4,33,37
0,1,1,12,0,4,1,1.4,-5,44,28,3,49,52
0,1,1,13,0,4,1,2.34,-3,-1,30,2,81,83
0,1,1,14,0,4,1,2.34,-3,-1,26,3,39,42
0,1,1,15,0,4,1,3.28,-2,38,20,5,55,60
0,1,1,16,0,4,1,3.28,-2,38,24,2,76,78
0,1,1,17,0,4,1,1.4,-4,40,19,4,158,162
0,1,1,18,0,4,1,1.4,-4,-1,22,3,141,144
0,1,1,19,0,4,1,-0.48,-6,47,17,1,98,99
0,1,1,20,0,4,1,-0.48,-6,47,15,0,64,64
0,1,1,21,0,4,1,-1.42,-8,46,20,0,40,40
0,1,1,22,0,4,1,-1.42,-8,46,22,0,30,30
0,1,1,23,0,4,1,-2.36,-7,50,13,1,14,15
0,1,1,0,0,5,1,-2.36,-7,50,13,0,14,14
0,1,1,1,0,5,1,-3.3,-8,54,11,0,5,5
0,1,1,2,0,5,1,-3.3,-8,54,9,0,1,1
0,1,1,3,0,5,1,-3.3,-7,54,7,0,1,1
0,1,1,5,0,5,1,-3.3,-7,54,6,0,8,8
0,1,1,6,0,5,1,-3.3,-4,-1,0,0,17,17
0,1,1,7,0,5,1,-3.3,-8,74,11,0,70,70
0,1,1,8,0,5,1,-2.36,-5,-1,0,2,156,158
0,1,1,9,0,5,1,-1.42,-6,69,9,0,117,117
0,1,1,10,0,5,1,0.46,-4,55,13,4,40,44
0,1,1,11,0,5,1,0.46,-5,-1,19,6,47,53
0,1,1,12,0,5,1,1.4,-3,44,17,2,59,61
0,1,1,13,0,5,1,2.34,-3,37,26,4,73,77
0,1,1,14,0,5,1,2.34,-2,-1,19,5,59,64
0,1,1,15,0,5,1,3.28,0,38,11,9,59,68
0,1,1,16,0,5,1,2.34,0,41,7,3,87,90
0,1,1,17,0,5,1,2.34,-1,41,11,4,155,159
0,1,1,18,0,5,1,1.4,1,47,0,5,134,139
0,1,1,19,0,5,1,-0.48,-3,59,6,3,89,92
0,1,1,20,0,5,1,0.46,0,59,0,0,68,68
0,1,1,21,0,5,1,-0.48,-1,-1,0,4,48,52
0,1,1,22,0,5,2,-0.48,-1,69,0,2,34,36
0,1,1,23,0,5,2,0.46,0,55,0,1,26,27
0,1,1,0,0,6,1,0.46,0,-1,0,3,25,28
0,1,1,1,0,6,2,-0.48,-3,59,6,2,18,20
0,1,1,2,0,6,2,-0.48,-3,59,6,0,12,12
0,1,1,3,0,6,2,-0.48,-1,59,0,1,7,8
0,1,1,4,0,6,2,-0.48,-1,59,0,0,5,5
0,1,1,5,0,6,1,-0.48,-1,59,0,0,1,1
0,1,1,6,0,6,1,-1.42,-5,63,7,1,2,3
0,1,1,7,0,6,1,-1.42,-2,63,0,1,9,10
0,1,1,8,0,6,1,-1.42,-6,63,9,1,22,23
0,1,1,9,0,6,1,-0.48,-4,64,9,2,31,33
0,1,1,10,0,6,1,0.46,-3,59,11,2,57,59
0,1,1,11,0,6,1,1.4,-3,55,15,18,54,72
0,1,1,12,0,6,1,3.28,-1,48,15,15,74,89
0,1,1,13,0,6,1,5.16,1,-1,20,21,80,101
0,1,1,14,0,6,1,6.1,3,39,19,26,92,118
0,1,1,15,0,6,2,7.04,5,36,13,21,108,129
0,1,1,16,0,6,2,7.98,6,-1,13,33,95,128
0,1,1,17,0,6,2,7.04,4,36,19,29,54,83
0,1,1,18,0,6,2,6.1,3,45,17,15,69,84
0,1,1,19,0,6,2,7.04,4,39,17,14,60,74
0,1,1,20,0,6,2,7.04,4,39,17,6,35,41
0,1,1,21,0,6,2,7.04,4,39,15,6,51,57
0,1,1,22,0,6,2,6.1,5,42,7,0,26,26
0,1,1,23,0,6,1,6.1,3,45,19,5,39,44
0,1,1,0,0,0,1,4.22,4,56,0,6,33,39
0,1,1,1,0,0,1,4.22,2,-1,9,4,19,23
0,1,1,2,0,0,1,4.22,3,56,6,3,13,16
0,1,1,3,0,0,1,2.34,2,69,0,9,6,15
0,1,1,4,0,0,1,4.22,1,56,11,0,1,1
0,1,1,5,0,0,2,4.22,1,56,11,1,1,2
0,1,1,6,0,0,2,4.22,1,56,11,0,1,1
0,1,1,7,0,0,2,3.28,-2,56,20,0,3,3
0,1,1,8,0,0,1,2.34,-2,55,19,0,18,18
0,1,1,9,0,0,1,2.34,-2,51,17,3,29,32
0,1,1,10,0,0,1,2.34,-2,51,19,8,71,79
0,1,1,11,0,0,1,3.28,-1,44,17,23,70,93
0,1,1,12,0,0,1,3.28,-2,41,19,29,75,104
0,1,1,13,0,0,1,4.22,-1,35,20,23,95,118
0,1,1,14,0,0,1,5.16,2,36,17,22,69,91
0,1,1,15,0,0,1,4.22,0,38,17,35,78,113
0,1,1,16,0,0,1,3.28,-1,38,15,22,77,99
0,1,1,17,0,0,1,2.34,-2,37,17,23,82,105
0,1,1,18,0,0,1,1.4,-2,40,11,11,56,67
0,1,1,19,0,0,1,0.46,-3,47,9,14,47,61
0,1,1,20,0,0,1,0.46,-3,47,11,7,50,57
0,1,1,21,0,0,1,0.46,-3,51,11,6,22,28
0,1,1,22,0,0,2,1.4,-2,49,9,2,19,21
0,1,1,23,0,0,2,1.4,-1,40,7,0,18,18
0,1,1,0,1,1,2,1.4,-3,47,15,1,16,17
0,1,1,1,1,1,2,1.4,-3,44,13,1,15,16
0,1,1,2,1,1,2,0.46,-5,43,17,0,8,8
0,1,1,3,1,1,2,0.46,-4,43,13,0,2,2
0,1,1,4,1,1,2,0.46,-3,43,9,1,2,3
0,1,1,5,1,1,2,0.46,-3,43,11,0,1,1
0,1,1,6,1,1,2,0.46,-4,43,13,0,5,5
0,1,1,7,1,1,2,-0.48,-4,50,9,4,9,13
0,1,1,8,1,1,2,-0.48,-6,47,15,3,30,33
0,1,1,9,1,1,2,-0.48,-6,-1,15,8,39,47
0,1,1,10,1,1,2,-0.48,-6,-1,17,7,50,57
0,1,1,11,1,1,2,-0.48,-6,55,13,9,55,64
0,1,1,12,1,1,2,0.46,-3,47,9,10,70,80
0,1,1,13,1,1,2,0.46,-3,47,9,13,80,93
0,1,1,14,1,1,2,0.46,-2,43,7,12,74,86
0,1,1,15,1,1,2,1.4,-2,47,11,21,72,93
0,1,1,16,1,1,2,1.4,-2,47,11,6,76,82
0,1,1,17,1,1,1,1.4,-3,51,13,4,67,71
0,1,1,18,1,1,2,0.46,-5,55,17,7,85,92
0,1,1,19,1,1,3,0.46,-4,59,13,2,58,60
0,1,1,20,1,1,3,-0.48,-6,80,13,4,29,33
0,1,1,21,1,1,3,-0.48,-6,80,13,3,24,27
0,1,1,22,1,1,3,-1.42,-8,-1,17,0,13,13
0,1,1,23,1,1,3,-0.48,-7,86,19,1,3,4
0,1,1,12,0,2,2,1.4,-4,86,22,0,3,3
0,1,1,13,0,2,2,1.4,-3,86,15,0,22,22
0,1,1,14,0,2,2,2.34,-1,80,11,2,26,28
0,1,1,15,0,2,2,2.34,-1,87,11,3,32,35
0,1,1,16,0,2,2,2.34,-1,87,13,0,61,61
0,1,1,17,0,2,2,2.34,-1,82,13,1,124,125
0,1,1,18,0,2,2,2.34,-1,80,11,1,132,133
0,1,1,19,0,2,2,2.34,-1,-1,9,1,98,99
0,1,1,20,0,2,2,2.34,2,87,0,0,83,83
0,1,1,21,0,2,2,2.34,0,-1,7,0,41,41
0,1,1,22,0,2,2,2.34,1,93,6,0,33,33
0,1,1,23,0,2,2,2.34,2,93,0,1,19,20
0,1,1,0,0,3,2,2.34,2,93,0,0,3,3
0,1,1,1,0,3,3,2.34,-1,93,9,1,6,7
0,1,1,2,0,3,3,2.34,-1,93,9,0,3,3
0,1,1,4,0,3,3,2.34,-1,-1,9,1,1,2
0,1,1,5,0,3,2,2.34,1,93,6,0,7,7
0,1,1,6,0,3,2,2.34,1,93,6,0,32,32
0,1,1,7,0,3,2,3.28,1,92,7,1,89,90
0,1,1,8,0,3,2,3.28,1,93,7,1,196,197
0,1,1,9,0,3,2,3.28,1,-1,7,2,107,109
0,1,1,10,0,3,2,4.22,2,93,9,1,46,47
0,1,1,11,0,3,2,5.16,4,87,6,5,47,52
0,1,1,12,0,3,2,6.1,5,-1,6,5,65,70
0,1,1,13,0,3,1,10.8,11,62,19,11,67,78
0,1,1,14,0,3,1,10.8,11,58,17,7,68,75
0,1,1,15,0,3,1,10.8,11,54,19,4,78,82
0,1,1,16,0,3,1,9.86,10,58,26,10,94,104
0,1,1,17,0,3,1,8.92,6,57,22,7,190,197
0,1,1,18,0,3,1,7.98,5,61,19,5,156,161
0,1,1,19,0,3,1,7.04,3,57,28,4,108,112
0,1,1,20,0,3,1,7.04,4,49,20,2,74,76
0,1,1,21,0,3,1,7.04,3,-1,28,4,55,59
0,1,1,22,0,3,1,6.1,4,52,11,6,53,59
0,1,1,23,0,3,1,6.1,2,52,31,1,27,28
0,1,1,0,0,4,1,4.22,-1,56,26,5,8,13
0,1,1,1,0,4,1,4.22,2,56,0,2,3,5
0,1,1,2,0,4,1,4.22,2,56,0,0,2,2
0,1,1,3,0,4,1,4.22,1,56,11,0,1,1
0,1,1,4,0,4,1,4.22,1,56,11,0,1,1
0,1,1,5,0,4,1,3.28,-1,-1,15,0,6,6
0,1,1,6,0,4,1,2.34,-2,60,15,0,35,35
0,1,1,7,0,4,1,2.34,-2,55,15,1,100,101
0,1,1,8,0,4,1,2.34,-2,55,19,2,247,249
0,1,1,9,0,4,2,3.28,-1,52,15,3,140,143
0,1,1,10,0,4,1,4.22,-1,48,20,1,56,57
0,1,1,11,0,4,2,5.16,2,45,11,5,63,68
0,1,1,12,0,4,2,6.1,6,42,0,7,77,84
0,1,1,13,0,4,2,5.16,3,45,7,12,86,98
